ref_bacen;nu_ordem;cnpj_if;dt_emissao;dt_vencimento;cd_inst_credito;cd_categ_emitente;cd_fonte_recurso;cnpj_agente_invest;cd_estado;cd_ref_bacen_investimento;cd_tipo_seguro;cd_empreendimento;cd_programa;cd_tipo_encarg_financ;cd_tipo_irrigacao;cd_tipo_agricultura;cd_fase_ciclo_producao;cd_tipo_cultivo;cd_tipo_intgr_consor;cd_tipo_grao_semente;vl_aliq_proagro;vl_juros;vl_prestacao_investimento;vl_prev_prod;vl_quantidade;vl_receita_bruta_esperada;vl_parc_credito;vl_rec_proprio;vl_perc_risco_stn;vl_perc_risco_fundo_const;vl_rec_proprio_srv;vl_area_financ;cd_subprograma;vl_produtiv_obtida;dt_fim_colheita;dt_fim_plantio;dt_inic_colheita;dt_inic_plantio;vl_juros_enc_finan_posfix;vl_perc_custo_efet_total;cd_contrato_stn;cd_cnpj_cadastrante;vl_area_informada;cd_ciclo_cultivar;cd_tipo_solo;pc_bonus_car
517256589;1;00000000;2024-01-03;2024-10-18;10;2222;0201;00000000;PR;20230143716;2;12015080000021;0001;9;01;7;22;00;2;8;10.40;4.00;1827.93;14.17;;12186.20;8396.38;0.00;0.00;0.00;1352.58;2.17;0001;;2024-07-30;2024-02-20;2024-07-15;2024-02-19;;28.01;;;2.17;1;3;
517256590;1;81723108;2024-01-03;2024-11-01;1;2222;0201;;PR;;2;12015080000021;0001;9;01;3;22;00;2;8;10.40;6.00;;104.13;;72892.82;50217.00;502.17;0.00;0.00;7595.09;11.98;0001;6.30;2024-09-01;2024-03-10;2024-07-01;2024-02-01;;;;;12.10;1;3;
517256591;1;81723108;2024-01-03;2024-10-01;1;2222;0201;;PR;;3;12015080000021;0001;9;01;3;22;00;2;8;;6.00;;182.54;;127778.42;89444.89;2089.88;0.00;0.00;;23.65;0001;6.57;2024-07-31;2024-03-10;2024-06-01;2024-01-20;;;;;24.20;1;3;
517256592;1;07237373;2024-01-03;2026-01-03;5;2222;0502;;SE;;9;23271300193002;0001;9;00;0;00;00;0;0;;0.50;;;2.00;;6750.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256592;2;07237373;2024-01-03;2026-01-03;5;2222;0502;;SE;;9;23140851000408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;250.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256593;1;07237373;2024-01-03;2027-01-03;5;2222;0502;;BA;;9;13907710108408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;10000.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256594;1;07237373;2024-01-03;2026-01-03;5;2222;0502;;BA;;9;22371300074408;0001;9;00;0;55;00;0;0;;0.50;;65.00;1.00;13000.00;10000.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256595;1;81723108;2024-01-03;2024-11-01;1;2222;0201;;PR;;2;12015080000021;0001;9;01;3;22;00;2;8;10.40;6.00;;87.92;;61546.10;30794.88;307.95;0.00;0.00;18134.05;10.89;0001;;2024-09-01;2024-03-10;2024-07-01;2024-02-01;;;;;11.00;1;3;
517256596;1;07237373;2024-01-03;2026-01-03;5;2222;0502;;BA;;9;22371300074408;0001;9;00;0;55;00;0;0;;0.50;;72.00;1.00;18000.00;12000.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256597;1;91586982;2024-01-03;2024-11-05;5;3333;0300;;RS;;9;12010590000042;0050;9;01;3;22;00;2;0;;8.00;;12000.00;;72000.00;15000.00;1320.00;;;;1.85;;;2024-09-30;;2024-09-20;;;;2023748200145;01181521;2.01;;;
517256598;1;07237373;2024-01-03;2026-01-03;5;2222;0502;;BA;;9;22371300074408;0001;9;00;0;55;00;0;0;;0.50;;72.00;1.00;18000.00;12000.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256599;1;81723108;2024-01-03;2024-10-01;1;2222;0201;;PR;;2;12015080000021;0001;9;01;3;22;00;2;8;10.40;6.00;;123.83;;86682.34;58106.03;581.06;0.00;0.00;0.00;17.49;0001;7.36;2024-07-31;2024-03-10;2024-06-15;2024-02-01;;;;;17.66;1;3;
517256600;1;00000000;2024-01-03;2024-12-15;10;2222;0201;;SC;;9;22371300190408;0001;9;00;0;00;00;0;0;;4.00;;12904.32;4.00;28581.67;17825.40;0.00;0.00;0.00;;2.06;0001;;;;;;;5.32;;;2.06;;;
517256601;1;00000000;2024-01-03;2025-01-01;10;2222;0431;;MG;;9;22371300190408;0001;9;00;0;00;00;0;0;;4.00;;31938.19;12.00;82119.52;48729.17;0.00;0.00;0.00;;42.04;0001;;;;;;;4.40;2023001400474;;42.04;;;
517256602;1;00000000;2024-01-03;2024-08-31;10;2222;0201;;PR;;2;12013560000021;0001;9;01;3;22;00;2;8;3.00;4.00;;26.16;;95222.40;44949.75;0.00;0.00;0.00;0.00;10.90;0001;;2024-06-10;2024-02-28;2024-06-01;2024-02-24;;10.80;;;10.90;1;3;
517256603;1;02663426;2024-01-03;2024-05-15;5;2222;0505;;RS;;2;12016720000011;0001;9;01;7;22;00;2;8;6.50;6.00;;62.89;;125772.00;67569.00;;;;22000.00;13.38;0001;;2024-05-14;2024-01-05;2024-05-14;2024-01-05;;34.51;2023007301475;07202627;13.38;2;15;
517256604;1;24654881;2024-01-03;2025-12-23;5;4444;0430;;TO;;9;22311300000408;0999;9;00;0;57;00;0;0;;14.00;;185250.00;325.00;1728382.50;1200000.00;2500.00;;;;90.85;;;;;;;;;;01181521;91.04;;;
517256605;1;07237373;2024-01-03;2032-01-15;5;2222;0502;;RN;;9;23144860247002;0999;9;00;0;00;00;0;0;;7.79;;;1.00;;93000.00;;;;;0.00;;;;;;;;7.77;;;0.00;;;
517256606;1;37395399;2024-01-03;2028-12-20;1;2222;0430;;SP;;9;23271300078002;0999;9;03;0;00;00;0;0;;20.42;;;65.00;;351000.00;0.00;;;;19.36;;;;;;;;20.61;;02038232;19.36;;;
517256607;1;07237373;2024-01-03;2034-01-03;5;2222;0502;;RN;;9;23271300193002;0001;9;00;0;00;00;0;0;;6.00;;;5.00;;33650.00;;0.00;50.00;;0.99;0002;;;;;;;6.00;;;0.99;;;
517256607;2;07237373;2024-01-03;2034-01-03;5;2222;0502;;RN;;9;23907710108408;0001;9;00;0;00;00;0;0;;6.00;;;1.00;;2714.00;;0.00;50.00;;0.99;0002;;;;;;;6.00;;;0.99;;;
517256608;1;07237373;2024-01-03;2034-01-03;5;2222;0502;;MA;;9;23271300078002;0001;9;00;0;00;00;0;0;;6.00;;;10.00;;27960.00;;0.00;50.00;;11.26;0002;;;;;;;6.00;;;11.26;;;
517256608;2;07237373;2024-01-03;2034-01-03;5;2222;0502;;MA;;9;23271300079002;0001;9;00;0;00;00;0;0;;6.00;;;1.00;;5000.00;;0.00;50.00;;5.29;0002;;;;;;;6.00;;;5.29;;;
517256608;3;07237373;2024-01-03;2034-01-03;5;2222;0502;;MA;;9;23907710108408;0001;9;00;0;00;00;0;0;;6.00;;;1.00;;16000.00;;0.00;50.00;;9.33;0002;;;;;;;6.00;;;9.33;;;
517256609;1;07252614;2024-01-03;2024-12-15;5;2222;0505;;RS;;2;12011000000031;0001;9;01;5;22;00;2;8;10.00;6.00;;11.55;;11550.00;8580.00;;;;230.80;3.30;0001;;2024-10-13;2024-07-05;2024-10-03;2024-06-25;;18.00;2023007301475;21198087;3.30;1;3;
517256610;1;81723108;2024-01-03;2024-10-01;1;3333;0201;;PR;;3;12015080000021;0050;9;01;3;22;00;2;8;;8.00;;247.24;;173068.84;115711.99;1157.12;0.00;0.00;;34.67;;6.30;2024-06-20;2024-02-29;2024-06-16;2024-02-29;;;;;35.02;1;3;
517256611;1;07412987;2024-01-03;2025-10-15;5;3333;0300;;SC;;9;22311300000408;0050;9;00;0;57;00;0;0;;8.00;;50.00;50.00;330000.00;150000.00;;;;;7.20;;;;;;;;8.23;2023133200145;07202627;7.20;;;
517256612;1;00000000;2024-01-03;2025-12-09;2;4444;0430;;TO;;9;22311300000408;0999;9;00;0;57;00;0;0;;11.50;;246077.20;472.00;1753593.28;1087686.24;0.00;0.00;0.00;;182.98;;;;;;;;11.99;;;182.98;;;
517256613;1;00000000;2024-01-03;2025-01-01;10;2222;0300;;RS;;9;22371300190408;0001;9;00;0;00;00;0;0;;4.00;;53492.67;20.00;159223.32;58929.84;0.00;0.00;0.00;;4.96;0001;;;;;;;4.40;2023001200474;;4.96;;;
517256615;1;00000000;2024-01-03;2025-01-01;10;2222;0300;00000000;BA;20210115861;2;12015080000011;0001;9;01;3;22;00;2;8;7.90;6.00;5000.00;234.35;;192171.10;151342.33;0.00;0.00;0.00;2394.55;42.61;0001;;2024-11-30;2024-05-20;2024-10-01;2024-04-20;;16.64;2023001200375;;42.61;1;2;
517256617;1;07237373;2024-01-03;2034-01-03;5;2222;0502;;MA;;9;23271300078002;0001;9;00;0;00;00;0;0;;0.50;;;10.00;;28000.00;;0.00;100.00;;0.00;0054;;;;;;;0.50;;;0.00;;;
517256617;2;07237373;2024-01-03;2034-01-03;5;2222;0502;;MA;;9;23903440010408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;1500.00;;0.00;100.00;;0.00;0054;;;;;;;0.50;;;0.00;;;
517256617;3;07237373;2024-01-03;2034-01-03;5;2222;0502;;MA;;9;23907710108408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;12000.00;;0.00;100.00;;0.00;0054;;;;;;;0.50;;;0.00;;;
517256619;1;07237373;2024-01-03;2027-01-03;5;2222;0502;;BA;;9;13907710108408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;12000.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256622;1;81723108;2024-01-03;2024-11-01;1;3333;0201;;PR;;3;12015080000021;0050;9;01;3;22;00;2;8;;8.00;;602.06;;421444.80;300116.33;3001.16;0.00;0.00;;73.28;;;2024-09-10;2024-02-28;2024-07-20;2024-02-21;;;;;74.01;1;3;
517256623;1;00000000;2024-01-03;2024-11-18;10;2222;0201;;PR;;2;12015080000021;0001;9;01;7;22;00;2;8;10.40;6.00;;71.50;;59345.00;42147.27;0.00;0.00;0.00;0.00;11.00;0001;;2024-08-01;2024-02-25;2024-07-15;2024-02-11;;21.35;;;11.00;1;3;
517256624;1;81723108;2024-01-03;2024-10-01;3;2222;0201;;PR;;3;12015080000021;0001;9;01;3;22;00;2;8;;6.00;;82.43;;57697.64;45265.00;452.65;0.00;0.00;;11.98;0001;;2024-07-15;2024-03-15;2024-06-15;2024-02-01;;;;;12.10;1;2;
517256625;1;92702067;2024-01-03;2025-01-02;1;3333;0201;;RS;;9;22371300074408;0050;9;00;0;24;00;0;0;;8.00;;44720.00;104.00;380120.00;101920.00;;;;;25.97;;;;;;;;;;;25.97;;;
517256626;1;05983995;2024-01-03;2025-01-15;5;2222;0505;;RS;;3;12017100000031;0001;9;01;5;22;00;2;8;;4.00;;80.00;;106400.00;70000.00;;;;;20.00;0001;;2024-11-07;2024-06-30;2024-10-23;2024-06-15;;4.38;2023007301474;21198087;20.00;2;3;
517256627;1;08624548;2024-01-03;2028-01-15;5;3333;0430;;MG;;9;23271300193002;0999;9;00;0;00;00;0;0;;16.77;;;10.00;;79000.00;;;;;15.00;;;;;;;;17.00;;01401771;15.00;;;
517256628;1;81723108;2024-01-03;2024-11-01;1;3333;0201;;PR;;1;12015080000821;0050;9;01;3;22;00;1;8;10.00;8.00;;324.54;;273153.41;185081.34;1850.81;0.00;0.00;;56.00;;5.70;2024-09-10;2024-03-20;2024-07-10;2024-01-31;;;;;56.56;1;3;
517256629;1;78157146;2024-01-03;2024-10-18;1;3333;0201;;PR;;3;12015080000021;0050;9;01;7;22;00;2;8;;8.00;;149.36;;123059.35;80203.00;;;;;22.93;;5.90;2024-08-02;2024-03-08;2024-07-29;2024-02-26;;;;;22.93;1;3;
517256630;1;78157146;2024-01-03;2024-10-18;1;2222;0201;;PR;;3;12015080000021;0050;9;01;7;22;00;2;8;;8.00;;266.95;;219938.87;150786.30;;;;;45.36;;5.45;2024-08-26;2024-03-30;2024-08-06;2024-03-26;;;;;45.36;1;3;
517256631;1;78157146;2024-01-03;2024-10-18;1;3333;0201;;PR;;3;12015080000021;0050;9;01;7;22;00;2;8;;8.00;;107.72;;88751.00;59884.00;;;;;16.87;;4.96;2024-08-30;2024-03-10;2024-08-01;2024-03-01;;;;;16.87;1;3;
517256632;1;00000000;2024-01-03;2025-01-02;10;2222;0201;;SC;;9;22371300951408;0001;9;00;0;24;00;0;0;;6.00;;7227.60;40.00;138876.80;71130.40;0.00;0.00;0.00;;6.83;0001;;;;;;;6.40;;;6.83;;;
517256633;1;00000000;2024-01-03;2024-09-26;5;4444;0430;;MG;;3;12011220000042;0999;9;06;3;22;00;2;0;;12.50;;1180.40;;2042092.51;1539732.94;0.00;0.00;0.00;;29.50;;;2024-07-31;2024-03-20;2024-07-01;2024-02-20;;13.83;;;29.50;;;
517256634;1;00000000;2024-01-03;2025-01-01;10;2222;0431;;MG;;9;22371300190408;0001;9;00;0;00;00;0;0;;4.00;;33548.58;27.00;86333.04;58612.90;0.00;0.00;0.00;;11.07;0001;;;;;;;4.40;2023001400474;;11.07;;;
517256636;1;00000000;2024-01-03;2025-01-01;10;2222;0431;;RJ;;9;22371300190408;0001;9;00;0;00;00;0;0;;4.00;;27010.58;18.00;78409.29;60403.54;0.00;0.00;0.00;;8.00;0001;;;;;;;4.40;2023001400474;;8.00;;;
517256637;1;00000000;2024-01-03;2025-01-01;10;2222;0201;;RJ;;2;12016940148043;0001;9;03;3;22;00;2;0;5.00;4.00;;33.80;;89570.00;22536.51;0.00;0.00;0.00;40000.00;0.52;0001;;2024-06-30;2024-03-31;2024-05-06;2024-03-04;;21.34;;;0.52;;;
517256638;1;00000000;2024-01-03;2030-12-28;5;2222;0300;;RS;;9;13147080215002;0001;9;00;0;00;00;0;0;;5.00;;;1.00;;69000.00;31000.00;0.00;0.00;;0.00;0002;;;;;;;5.47;2023001200473;;0.00;;;
517256639;1;00000000;2024-01-03;2024-12-25;5;3333;0430;;BA;;1;12015080000011;0999;9;01;7;22;00;2;8;9.00;12.60;;598.68;;490917.60;334976.43;0.00;0.00;0.00;;99.78;;;2024-10-30;2024-03-30;2024-10-01;2024-03-11;;25.19;;;99.78;1;3;
517256642;1;92702067;2024-01-03;2033-12-15;5;2222;0403;;RS;;9;23703180110408;0001;9;00;0;00;00;0;0;;6.00;;;302.00;;28490.00;0.00;;;;0.03;0002;;;;;;;;2023041100478;;0.03;;;
517256643;1;82065285;2024-01-03;2024-07-04;5;4444;0430;;PR;;1;12013560000021;0999;9;01;3;22;00;2;8;7.00;12.00;;213.75;;775912.50;334905.23;;;;;74.85;;;2024-05-05;2024-01-25;2024-04-20;2024-01-20;;;;01181521;74.85;3;15;
517256644;1;81466286;2024-01-03;2033-12-15;5;2222;0300;;PR;;9;13703180110408;0001;9;00;0;00;00;0;0;;6.00;;;1.00;;61105.00;;;;;0.00;0002;;;;;;;;2023748200478;01181521;0.00;;;
517256645;1;10520232;2024-01-03;2025-12-15;5;3333;0402;;RO;;9;22311300000408;0999;9;00;0;57;00;0;0;;22.41;;37500.00;125.00;637500.00;200000.00;;;;;41.68;;;;;;;;22.65;;01401771;41.68;;;
517256646;1;00000000;2024-01-03;2024-12-20;1;3333;0430;;RS;;9;22371300190408;0999;9;00;0;00;00;0;0;;12.00;;227983.56;35.00;675761.10;305133.36;0.00;0.00;0.00;;3.01;;;;;;;;13.00;;;3.01;;;
517256647;1;00000000;2024-01-03;2024-12-28;1;3333;0430;;SP;;9;11251580048002;0999;9;00;0;00;00;0;8;;12.80;;;18900.00;;290299.46;72574.87;0.00;0.00;;0.00;;;;;;;;14.17;;;0.00;;;
517256648;1;01181521;2024-01-03;2031-12-15;5;2222;0505;;SC;;9;23271300193002;0001;9;00;0;00;00;0;0;;6.00;;;28.00;;194040.00;;;;;1.84;0002;;;;;;;;2023007301470;;1.84;;;
517256649;1;07237373;2024-01-03;2027-01-03;5;2222;0502;;PI;;9;13105760168408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;3000.00;;0.00;100.00;;2.00;0056;;;;;;;;;;2.00;;;
517256649;2;07237373;2024-01-03;2027-01-03;5;2222;0502;;PI;;9;23907710108408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;9000.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256650;1;07237373;2024-01-03;2026-01-03;5;2222;0502;;BA;;9;22371300074408;0001;9;00;0;55;00;0;0;;0.50;;78.00;1.00;15600.00;12000.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256651;1;07237373;2024-01-03;2032-01-03;5;3333;0502;;MA;;9;13105760989408;0001;9;00;0;00;00;0;0;;6.00;;;10.00;;20000.00;;0.00;50.00;;10.00;0002;;;;;;;6.00;;;10.00;;;
517256651;2;07237373;2024-01-03;2032-01-03;5;3333;0502;;MA;;9;23271300078002;0001;9;00;0;00;00;0;0;;6.00;;;17.00;;59500.00;;0.00;50.00;;8.00;0002;;;;;;;6.00;;;8.00;;;
517256651;3;07237373;2024-01-03;2032-01-03;5;3333;0502;;MA;;9;23271300079002;0001;9;00;0;00;00;0;0;;6.00;;;2.00;;9750.00;;0.00;50.00;;1.00;0002;;;;;;;6.00;;;1.00;;;
